steps,wall_s,sps,episodes,success_rate_100,mean_virtual_s_success_100,mean_cleared_100,policy_loss,value_loss,entropy,approx_kl,clip_fraction,collection_s,optimization_s
303104,23.736874100010027,12769.330903594924,1304,1.0,7990.242189279999,13.19,-0.0010489128762856126,0.19095179438591003,2.1585700511932373,0.0025371962692588568,0.03143310546875,0.24855189998925198,0.2993547999940347
311296,24.68109369999729,12612.731177307356,1337,1.0,7784.406679989999,13.39,-0.0026147705502808094,0.15699385106563568,2.191979169845581,0.003009812207892537,0.039215087890625,0.5857362000097055,0.3580903000110993
319488,25.300531100001535,12627.719107445164,1370,1.0,7634.21219633,13.12,-0.0014166091568768024,0.13760823011398315,2.1308910846710205,0.0038044177927076817,0.05029296875,0.2993588999961503,0.3196200999955181
327680,26.174259999999776,12519.169596389842,1406,1.0,7444.629359920001,13.14,-0.002016654470935464,0.13122186064720154,2.1150290966033936,0.003053094493225217,0.03839111328125,0.5781327000004239,0.29511099999945145
335872,27.10945270000957,12389.479187083753,1443,1.0,7255.607343240001,13.07,-0.0013343095779418945,0.12291298061609268,2.0415267944335938,0.003268931061029434,0.04107666015625,0.5887574999942444,0.3395992000005208
344064,27.663947000008193,12437.270791470866,1479,1.0,7181.80320835,13.29,-0.0016562873497605324,0.10029292106628418,2.036497116088867,0.0025704659055918455,0.029144287109375,0.2510353999969084,0.3031064999959199
352256,28.354592700008652,12423.24316652563,1514,1.0,7064.8112283499995,13.33,-0.001921559451147914,0.08094735443592072,2.018749475479126,0.003064230317249894,0.039154052734375,0.3735813999956008,0.31665870000142604
360448,28.916921800002456,12464.9505397898,1545,1.0,6915.189620609999,13.12,-0.002434690948575735,0.07311734557151794,2.0203728675842285,0.0025475453585386276,0.03265380859375,0.24140450000413693,0.320534200000111
368640,29.485845100003644,12502.270114684772,1585,1.0,6678.403106959999,12.9,-0.002284433227032423,0.06707655638456345,1.9827630519866943,0.002631151583045721,0.0341796875,0.2514307999954326,0.3170187999930931
376832,30.123566200010828,12509.541449971635,1616,1.0,6570.556215860002,12.86,-0.0022489551920443773,0.06281031668186188,1.9185014963150024,0.002802052069455385,0.03619384765625,0.3171801999997115,0.3200890000007348
385024,30.7673833000008,12514.031376857127,1656,1.0,6398.3096430800015,12.91,-0.0029675262048840523,0.06042536720633507,1.9437038898468018,0.0028961477801203728,0.0396728515625,0.3124204999912763,0.3309482000040589
393216,31.321485499996925,12554.193829664899,1691,1.0,6289.7286558199985,13.13,-0.0030446380842477083,0.056960202753543854,1.8548107147216797,0.0033542995806783438,0.045989990234375,0.24141769998823293,0.31216820000554435
401408,31.947941400008858,12564.440223991669,1730,1.0,6191.927782639999,12.93,-0.001327402307651937,0.044281430542469025,1.9230645895004272,0.002541591878980398,0.032012939453125,0.303034899989143,0.3230242999998154
409600,32.50749910000013,12600.169540572204,1772,1.0,6095.12569048,13.12,-0.0018229575362056494,0.05856671184301376,1.8613401651382446,0.002676804084330797,0.033905029296875,0.24480650000623427,0.3143726000125753
417792,33.10085519999848,12621.788696263631,1804,1.0,6008.527045149999,13.1,-0.0018920938018709421,0.04009217768907547,1.8877700567245483,0.0026058857329189777,0.031097412109375,0.23994600000150967,0.3463657999964198
425984,33.666193099998054,12653.168082732367,1843,1.0,5951.93615467,13.29,-0.0009088977240025997,0.04135863855481148,1.847730040550232,0.002267827745527029,0.025787353515625,0.24315749999368563,0.3217979000037303
434176,34.21550879999995,12689.450346563328,1880,1.0,5892.90512406,13.07,-0.001822298625484109,0.0347963385283947,1.822569727897644,0.002689286367967725,0.036712646484375,0.24426079999830108,0.30466550000710413
442368,34.83750049999799,12698.04072195207,1919,1.0,5821.52830546,13.09,-0.001075112260878086,0.03231852874159813,1.8331233263015747,0.0023813224397599697,0.0294189453125,0.2895060000009835,0.3320459000096889
450560,35.37514220000594,12736.627246686357,1962,1.0,5685.164368470001,13.06,-0.0021293843165040016,0.03348911553621292,1.7564624547958374,0.0021174366120249033,0.024871826171875,0.24487319999025203,0.2923253000044497
458752,35.93993390000833,12764.408562250965,1994,1.0,5596.155360609999,13.05,-0.0021648253314197063,0.02572420798242092,1.7410560846328735,0.0026835319586098194,0.031463623046875,0.2463317000074312,0.3180069999943953
466944,36.54265650000889,12778.052958462022,2039,1.0,5517.5656254099995,13.3,-0.0010281438007950783,0.031085770577192307,1.706514835357666,0.0018999888561666012,0.019500732421875,0.29622639999433886,0.30607619999500457
475136,37.12051120000251,12799.823726564624,2076,1.0,5436.21567987,13.39,-0.0008243820630013943,0.02871396206319332,1.6810849905014038,0.002254215069115162,0.02923583984375,0.24653499999840278,0.33091849999618717
483328,37.66453819999879,12832.441949335132,2116,1.0,5492.152537520001,13.41,-0.0016978734638541937,0.027552034705877304,1.6777578592300415,0.002193229738622904,0.02734375,0.24249849999614526,0.3011045000021113
491520,38.213048899997375,12862.621909240897,2158,1.0,5426.65006038,13.23,-0.0014134589582681656,0.030391618609428406,1.66385817527771,0.002113834023475647,0.02532958984375,0.24018540000542998,0.30792269999801647
499712,39.1266045000084,12771.667932490609,2193,1.0,5343.414217160001,13.15,-0.0016590622253715992,0.029897157102823257,1.7059295177459717,0.0022499151527881622,0.027191162109375,0.5787139999883948,0.32843700000375975
507904,39.647683200004394,12810.433271418586,2235,1.0,5266.58742,13.27,-0.001071067526936531,0.031408101320266724,1.6485342979431152,0.0027389097958803177,0.040496826171875,0.24462500000663567,0.27607669999997597
516096,40.25286550000601,12821.348085142483,2276,1.0,5268.74095966,13.24,-0.0011252649128437042,0.028723783791065216,1.6360416412353516,0.0022541002836078405,0.029571533203125,0.284993499997654,0.31967270000313874
524288,41.06979049999791,12765.782187275261,2312,1.0,5354.9835623200015,13.2,-0.0013172515900805593,0.028991250321269035,1.6013309955596924,0.0036235386505723,0.0487060546875,0.520801599996048,0.2957062999921618
532480,41.64476470000227,12786.24105180671,2350,1.0,5296.78117739,13.09,-0.0009814798831939697,0.024904407560825348,1.643012523651123,0.0011829056311398745,0.012420654296875,0.24141630000667647,0.33315929998934735
540672,42.22795090000727,12803.652284248225,2391,1.0,5191.488645230001,12.96,-0.0007873319555073977,0.03388747572898865,1.5952343940734863,0.0019713817164301872,0.022247314453125,0.24225170000863727,0.3404501000040909
548864,43.12820259999717,12726.336061128502,2428,1.0,5108.00052859,13.06,-0.0009873774833977222,0.030224110931158066,1.6417800188064575,0.002391455927863717,0.030670166015625,0.5775006000039866,0.32235750000108965
557056,43.68180440001015,12752.586749824615,2469,1.0,5076.023495570001,13.17,-0.0012390755582600832,0.026042547076940536,1.6099894046783447,0.002385425614193082,0.028472900390625,0.25636290000693407,0.2966183000098681
565248,44.45207880000817,12715.89575243658,2505,1.0,5051.523098919999,13.07,-0.0005502941785380244,0.02159978076815605,1.629996418952942,0.0024894792586565018,0.030975341796875,0.4201914000004763,0.3495858000096632
573440,45.44675870001083,12617.841544767049,2544,1.0,5015.84383138,13.04,-0.0010151832830160856,0.024081869050860405,1.6635264158248901,0.0022598763462156057,0.027496337890625,0.5951163999998244,0.3991463999991538
581632,46.32063560000097,12556.649805556377,2582,1.0,5008.792033399999,12.56,0.0007665706798434258,0.027314677834510803,1.6320810317993164,0.0035345605574548244,0.044921875,0.5458299000019906,0.32180929998867214
589824,46.903639800002566,12575.228756553084,2620,1.0,5034.49908634,12.62,-0.0012908373028039932,0.02339053899049759,1.6181954145431519,0.0021465113386511803,0.02593994140625,0.2889603000076022,0.29365959999267943
598016,47.473631900007604,12596.803237207225,2657,1.0,5035.551068010001,12.92,-0.0016860603354871273,0.02446933463215828,1.616431713104248,0.0022877200972288847,0.027313232421875,0.24602839999715798,0.3235541000030935
606208,48.09268100000918,12604.994926356556,2694,1.0,5008.9275709799995,13.16,-0.0010367606300860643,0.025764424353837967,1.6680001020431519,0.0029463269747793674,0.033599853515625,0.3122423000022536,0.3062927999999374
614400,48.81217800000741,12587.022853188537,2727,1.0,5050.96462629,13.31,-0.0003723194822669029,0.02074112370610237,1.6539469957351685,0.0027583763003349304,0.03338623046875,0.3648586999916006,0.354262299995753
622592,49.378074200008996,12608.6731831248,2766,1.0,5093.68933498,13.12,-7.15573551133275e-05,0.019247056916356087,1.6880829334259033,0.0025219060480594635,0.032623291015625,0.2529744999919785,0.3123286000045482
630784,50.046209799998906,12604.031404592277,2800,1.0,5111.877458949999,12.93,-0.0011007031425833702,0.017321284860372543,1.6851943731307983,0.0020896438509225845,0.027557373046875,0.3115122000017436,0.35620700000436045
638976,50.52866019999783,12645.813236900894,2833,1.0,5049.00478371,12.79,-0.0009235185571014881,0.021567298099398613,1.6970478296279907,0.0026620570570230484,0.03289794921875,0.24121690000174567,0.240780200008885
647168,51.03030330000911,12682.03318712951,2868,1.0,4997.135911400001,12.78,-0.0005019926466047764,0.019861768931150436,1.6720480918884277,0.003445351729169488,0.043487548828125,0.24735920000239275,0.2538868999981787
655360,51.51606500000344,12721.468536076198,2906,1.0,4991.041498149999,12.89,-0.00011360093776602298,0.021378373727202415,1.66950523853302,0.002600582782179117,0.03057861328125,0.24467889999505132,0.2406899999914458
663552,52.01022080000257,12758.107729470881,2942,1.0,5012.45732745,13.03,-0.0011061179684475064,0.01901252008974552,1.622977375984192,0.0022267892491072416,0.027923583984375,0.24834699998609722,0.23911710000538733
671744,52.59998199999973,12770.802849324235,2975,1.0,4943.74985741,13.09,0.0005643405020236969,0.019406508654356003,1.645826816558838,0.0029468615539371967,0.0386962890625,0.24792449999949895,0.34140150000166614
679936,53.225054499998805,12774.7356275608,3016,1.0,4995.879575880001,13.26,0.00021444354206323624,0.0215169545263052,1.6061861515045166,0.002687295898795128,0.033416748046875,0.26674419999471866,0.35791530000278726
688128,53.77081820000603,12797.42475631369,3048,1.0,4948.173191509999,13.33,-0.0003317524679005146,0.022782284766435623,1.6796483993530273,0.0025206757709383965,0.033599853515625,0.247461499995552,0.2978755999938585
696320,54.54521440000099,12765.922870769527,3085,1.0,4985.89227408,13.3,-0.0002791834995150566,0.022240469232201576,1.6588201522827148,0.0019352096132934093,0.022491455078125,0.41784939999342896,0.3559910000039963
704512,55.1385059000022,12777.132577326,3119,1.0,4931.56658174,13.0,0.0004329569637775421,0.017673641443252563,1.6934891939163208,0.004354179836809635,0.050506591796875,0.2882889000029536,0.30457739999110345
712704,55.74855709999974,12784.259128385644,3157,1.0,4981.02660847,12.69,-0.0016550796572118998,0.018905874341726303,1.6361420154571533,0.003704727627336979,0.0477294921875,0.2523723000049358,0.35729189999983646
720896,56.34033289999934,12795.380554096948,3195,1.0,4941.882269690001,12.74,-0.0004405704094097018,0.01805785298347473,1.6606652736663818,0.001987879630178213,0.025604248046875,0.24490829999558628,0.3463711000076728
729088,57.11201540000911,12765.930161867194,3235,1.0,4973.9453289,13.12,-0.0013646818697452545,0.020376957952976227,1.6473031044006348,0.002686741529032588,0.033294677734375,0.4339663999999175,0.3372977999970317
737280,57.6893182000058,12780.182241778095,3265,1.0,4989.5344149699995,13.39,-0.00039799464866518974,0.015926014631986618,1.6588810682296753,0.0027696748729795218,0.033843994140625,0.24639400000160094,0.3304340000031516
745472,58.25689040000725,12796.288900444079,3307,1.0,5035.9110904399995,13.21,-0.0012841005809605122,0.0199413038790226,1.6444681882858276,0.0021818755194544792,0.028900146484375,0.24345560000801925,0.3158477999968454
753664,58.8268681000045,12811.560845272032,3337,1.0,4974.9485243,13.12,-2.5918358005583286e-05,0.019338063895702362,1.6698248386383057,0.0030617904849350452,0.036468505859375,0.2519652000046335,0.31748549999610987
761856,59.677493900002446,12766.219728941545,3379,1.0,4910.392264249999,12.85,-0.0014459405792877078,0.016590390354394913,1.631571650505066,0.002392629161477089,0.030548095703125,0.5097586999909254,0.34035270000458695
770048,60.237668500005384,12783.496094307355,3416,1.0,4835.078398979999,12.54,-0.0004991681780666113,0.019163966178894043,1.6504528522491455,0.0027329991571605206,0.033477783203125,0.24456210000789724,0.3151730999961728
778240,60.80517600000894,12798.910408546233,3452,1.0,4874.13091713,12.67,-0.0004712538211606443,0.012927418574690819,1.6203688383102417,0.0024687377735972404,0.0313720703125,0.24281690000498202,0.3242690000042785
786432,61.39886440000555,12808.575658280886,3491,1.0,4823.3234921,12.73,-0.0003810094203799963,0.014754085801541805,1.6426492929458618,0.0020059417001903057,0.025604248046875,0.2435803999978816,0.3494719000009354
794624,62.17018260000623,12781.432622009388,3523,1.0,4826.330572880001,12.87,4.1847117245197296e-05,0.015340713784098625,1.6125316619873047,0.002221996197476983,0.026031494140625,0.4167330999916885,0.3540636999969138
802816,63.111955500004115,12720.505863583132,3566,1.0,4763.60727795,12.93,-0.000871521420776844,0.014998084865510464,1.6570898294448853,0.0028460659086704254,0.03692626953125,0.5810320000018692,0.3602231999975629
811008,64.0699120000063,12658.172528782625,3606,1.0,4752.19081313,12.8,-0.0002978667616844177,0.013704610988497734,1.633128046989441,0.0032825362868607044,0.038421630859375,0.598108999998658,0.3594281999976374
819200,64.68175970000448,12665.085238859747,3643,1.0,4716.40261752,12.7,-0.0003921810130123049,0.017742229625582695,1.5694643259048462,0.0014225005870684981,0.018341064453125,0.24946099999942817,0.3618709000002127
827392,65.40129380000872,12651.003549411276,3682,1.0,4713.34865507,12.64,-0.0004428601823747158,0.017597177997231483,1.5866609811782837,0.0025874986313283443,0.030303955078125,0.35290870000608265,0.3591780999995535
835584,66.22372809999797,12617.592273546823,3722,1.0,4669.956257360001,12.72,-9.995815344154835e-05,0.013915522024035454,1.550605058670044,0.0029174669180065393,0.0360107421875,0.47622599999886006,0.3457475000031991
843776,67.03205829999933,12587.648677349482,3758,1.0,4671.80198896,12.6,-0.0009746439754962921,0.016954315826296806,1.5761573314666748,0.002003292553126812,0.027374267578125,0.5153552999981912,0.2924242000008235
851968,67.67401509999763,12589.292932318269,3802,1.0,4673.938156859999,12.64,-0.0007428403478115797,0.028540728613734245,1.5538007020950317,0.002164709847420454,0.02813720703125,0.34221220000472385,0.2992856000055326
860160,68.27960940000776,12597.611608479738,3842,1.0,4653.33636672,12.69,-0.0004852861166000366,0.013285885564982891,1.5086376667022705,0.002215416170656681,0.02972412109375,0.30568859999766573,0.29944040000555106
868352,68.85463650000747,12611.38020821453,3882,1.0,4643.29726607,12.8,-0.0006486830534413457,0.015582045540213585,1.5322215557098389,0.0022208611480891705,0.02911376953125,0.25109919998794794,0.32351300001027994
876544,69.40853420000349,12628.764028846988,3924,1.0,4661.69974383,12.74,-0.0011171420337632298,0.01238203700631857,1.5252337455749512,0.002243926515802741,0.0299072265625,0.2622158999874955,0.29119570000329986
884736,70.18357700000342,12606.026050794715,3963,1.0,4696.4595714199995,13.09,-0.0008005951531231403,0.012684768997132778,1.5342248678207397,0.00254681333899498,0.031463623046875,0.4239579999994021,0.35065819999726955
892928,70.78169070000877,12615.239776970875,4000,1.0,4719.44068715,13.25,-0.00027010031044483185,0.012155786156654358,1.5423039197921753,0.0030671441927552223,0.037567138671875,0.2433424000046216,0.3542717999953311
901120,71.40677180000057,12619.531415366306,4041,1.0,4715.64229207,13.31,0.0004772788379341364,0.011208543553948402,1.532163381576538,0.0032994509674608707,0.0382080078125,0.2991770000080578,0.3254235000058543
909312,72.01227410000865,12627.18073223424,4079,1.0,4646.429997009999,13.0,-0.0010035720188170671,0.011721745133399963,1.517932415008545,0.0020288657397031784,0.026580810546875,0.2665132999973139,0.3316472000005888
917504,72.60557840000547,12636.825161631532,4117,1.0,4622.253785340001,12.94,-3.778352402150631e-05,0.011993590742349625,1.497739553451538,0.0023871641606092453,0.030181884765625,0.26087539999571163,0.3320118999981787
925696,73.19797760000802,12646.469620492611,4157,1.0,4644.054585920001,13.08,0.00044211139902472496,0.011009164154529572,1.5072355270385742,0.002242614980787039,0.029266357421875,0.24491710000438616,0.3470644000044558
933888,73.73863490000076,12664.839826048777,4193,1.0,4665.7268007,13.13,-0.0006978744640946388,0.013584189116954803,1.5049511194229126,0.0024192724376916885,0.032684326171875,0.24069710000185296,0.2995568999904208
942080,74.35931480000727,12669.293719741321,4233,1.0,4682.56687207,13.33,0.00034906622022390366,0.012139784172177315,1.5211231708526611,0.003210945287719369,0.03753662109375,0.24483869998948649,0.37532700000156183
950272,75.12747079999826,12648.795305911217,4268,1.0,4651.931156449999,13.05,7.387937512248755e-05,0.01443570852279663,1.5316534042358398,0.002735868562012911,0.032684326171875,0.42646719999902416,0.34109660000831354
958464,76.09641420000116,12595.389810102055,4307,1.0,4686.483111229999,12.79,-9.842670988291502e-05,0.013516569510102272,1.514678955078125,0.0025304132141172886,0.030548095703125,0.58313719999569,0.3853621000016574
966656,76.67787169999792,12606.71401759872,4345,1.0,4724.917846230001,12.84,0.00027365912683308125,0.010281609371304512,1.5333179235458374,0.0040617408230900764,0.042449951171875,0.3066997999994783,0.27430489999824204
974848,77.31805800000438,12608.283565528052,4385,1.0,4663.15030038,12.68,-3.294716589152813e-05,0.011394075118005276,1.5211594104766846,0.002366808243095875,0.0291748046875,0.26892089999455493,0.3708182999980636
983040,77.98138589999871,12606.085268356537,4416,1.0,4645.39413461,12.77,-0.00036516261752694845,0.010034884326159954,1.4714243412017822,0.0021841730922460556,0.027099609375,0.3121045000007143,0.35079250000126194
991232,78.68869789999735,12596.8789223037,4451,1.0,4619.73842467,12.67,-0.0013011551927775145,0.009746048599481583,1.515043020248413,0.0023625786416232586,0.030120849609375,0.3576171000022441,0.3426946000108728
999424,79.34412670000165,12596.067806994708,4490,1.0,4676.120855980001,12.89,-0.0003436589613556862,0.010731188580393791,1.461261510848999,0.0025704489089548588,0.03228759765625,0.28822580000269227,0.3667518000002019
1007616,79.94393809999747,12604.032575173225,4523,1.0,4694.21242981,13.28,-0.0007604195270687342,0.009074143134057522,1.4793037176132202,0.002711699577048421,0.033294677734375,0.24749460000020918,0.35191140000824817
1015808,80.53278680000221,12613.595534979948,4562,1.0,4735.5403469,13.44,-0.00040901440661400557,0.010716892778873444,1.4583414793014526,0.0019039022736251354,0.023101806640625,0.24400609999429435,0.3444420000014361
1024000,81.35839639999904,12586.285439618277,4594,1.0,4754.24696957,13.28,-0.0007558024954050779,0.00908944196999073,1.5105869770050049,0.0024985370691865683,0.028717041015625,0.24877489999926183,0.3238557999866316
1032192,81.99382580000383,12588.655181399668,4626,1.0,4789.815649040001,13.0,-9.601411875337362e-05,0.010664201341569424,1.4321506023406982,0.002350390190258622,0.02471923828125,0.27580780000425875,0.35908300000301097
1040384,82.64245179999853,12588.97790832506,4657,1.0,4747.26327665,12.86,0.00012253480963408947,0.010137549601495266,1.5327908992767334,0.002628896152600646,0.029266357421875,0.3219645999924978,0.32617539999773726
1048576,83.2501304000034,12595.487778358569,4686,1.0,4771.56625291,13.09,-0.0010188096202909946,0.014171775430440903,1.449920415878296,0.0015095241833478212,0.02001953125,0.23969990000477992,0.3675297000008868
