method,case,family,sources,cleared,virtual_time_s,s_per_source,movement_m,measurements,failed_clears,runtime_s,planning_calls,planning_time_s,cover_searches,failure
mec,n14_narrow_sector_1,narrow_sector,14,14,2415.9322626508356,172.5665901893454,8304.661313254175,113,3,0.2977167999924859,0,0.0,0,
mec,n14_narrow_sector_2,narrow_sector,14,14,2639.166597875049,188.51189984821778,9650.832989375243,106,2,0.25973720000183675,0,0.0,0,
mec,n14_narrow_sector_3,narrow_sector,14,14,2611.347932474419,186.52485231960137,8981.739662372094,125,1,0.309569899996859,0,0.0,0,
mec,n14_coverage_seams_0,coverage_seams,14,14,3735.4630139341184,266.8187867095799,14092.31506967059,137,13,0.1780948000086937,0,0.0,0,
mec,n14_coverage_seams_1,coverage_seams,14,14,3539.456670788004,252.81833362771457,13137.283353940022,135,14,0.17408910000813194,0,0.0,0,
mec,n14_coverage_seams_2,coverage_seams,14,14,3470.720206484334,247.90858617745243,12808.601032421664,136,12,0.18511389999184757,0,0.0,0,
mec,n14_coverage_seams_3,coverage_seams,14,14,3739.045629252541,267.0746878037529,14115.228146262705,137,13,0.18133629999647383,0,0.0,0,
mec,n15_uniform_disk_0,uniform_disk,15,15,3523.469499515274,234.8979666343516,13622.347497576375,121,1,0.24220369999238756,0,0.0,0,
mec,n15_uniform_disk_1,uniform_disk,15,15,3036.3084031920694,202.42056021280462,11361.542015960349,114,3,0.2600550000061048,0,0.0,0,
mec,n15_uniform_disk_2,uniform_disk,15,15,3108.0468776455373,207.20312517636916,11705.234388227684,116,1,0.2501966999989236,0,0.0,0,
mec,n15_uniform_disk_3,uniform_disk,15,15,2901.52439965143,193.434959976762,10742.62199825715,114,0,0.358185200006119,0,0.0,0,
mec,n15_outer_ring_0,outer_ring,15,15,4077.372008298545,271.82480055323634,15996.860041492717,134,2,0.20478420000290498,0,0.0,0,
mec,n15_outer_ring_1,outer_ring,15,15,3398.3623016698725,226.5574867779915,12746.811508349369,127,7,0.2208085000020219,0,0.0,0,
mec,n15_outer_ring_2,outer_ring,15,15,3540.146595144788,236.00977300965255,13400.732975723942,131,1,0.20270490000257269,0,0.0,0,
mec,n15_outer_ring_3,outer_ring,15,15,3499.2110630643433,233.28073753762288,13296.055315321712,128,2,0.22763589999522083,0,0.0,0,
mec,n15_two_clusters_0,two_clusters,15,15,2675.0078065138377,178.33385376758918,9505.039032569188,117,1,0.23318740000831895,0,0.0,0,
mec,n15_two_clusters_1,two_clusters,15,15,2489.7124012649856,165.98082675099903,8418.562006324926,122,1,0.34235910000279546,0,0.0,0,
mec,n15_two_clusters_2,two_clusters,15,15,2398.948520952559,159.92990139683727,8234.742604762792,113,1,0.26939600000332575,0,0.0,0,
mec,n15_two_clusters_3,two_clusters,15,15,2621.506657536903,174.76711050246018,9042.533287684519,123,1,0.272210900002392,0,0.0,0,
mec,n15_narrow_sector_0,narrow_sector,15,15,2420.637235176929,161.37581567846195,8443.186175884646,109,2,0.32000560000597034,0,0.0,0,
mec,n15_narrow_sector_1,narrow_sector,15,15,2397.141389055457,159.80942593703045,8735.706945277281,96,0,0.32621719999588095,0,0.0,0,
mec,n15_narrow_sector_2,narrow_sector,15,15,2596.982954066781,173.1321969377854,8674.914770333906,131,1,0.21736710000550374,0,0.0,0,
mec,n15_narrow_sector_3,narrow_sector,15,15,2578.3225179826763,171.88816786551175,9336.612589913382,106,1,0.2887014000007184,0,0.0,0,
mec,n15_coverage_seams_0,coverage_seams,15,15,3795.6905378315987,253.04603585543992,14858.452689157994,121,12,0.20787170001131017,0,0.0,0,
mec,n15_coverage_seams_1,coverage_seams,15,15,3345.4149659809414,223.02766439872943,12712.074829904714,117,13,0.21275749999040272,0,0.0,0,
mec,n15_coverage_seams_2,coverage_seams,15,15,3476.4671023290584,231.7644734886039,12652.335511645288,141,13,0.17176409999956377,0,0.0,0,
mec,n15_coverage_seams_3,coverage_seams,15,15,3735.303610721218,249.02024071474787,14016.518053606087,139,12,0.1774855999974534,0,0.0,0,
mec,n16_uniform_disk_0,uniform_disk,16,16,3360.5764952011423,210.0360309500714,13072.88247600571,112,1,0.2938589999976102,0,0.0,0,
mec,n16_uniform_disk_1,uniform_disk,16,16,3628.378007517007,226.77362546981294,14051.890037585037,122,6,0.2609997999970801,0,0.0,0,
mec,n16_uniform_disk_2,uniform_disk,16,16,3402.416511343857,212.65103195899107,12802.082556719286,127,2,0.29494929999054875,0,0.0,0,
