x,y,J,p_near,p_direction,p_no_signal,normalization_error,level,spacing_m,effective_angle_fallbacks,direction_mass_correction
750.0,-300.0,51.00816456598011,0.0,1.0,0.0,0.0,2,150.0,1,0.0
600.0,600.0,51.16628863127355,0.0,1.0,0.0,0.0,0,600,0,0.0
1050.0,-750.0,51.29432898710484,0.0,0.9913467752428387,0.00865322475716146,0.0,2,150.0,0,-0.0011697309174920623
600.0,750.0,52.04229720312502,0.0,1.0,0.0,0.0,2,150.0,1,0.0
600.0,-450.0,52.12455634854719,0.0,1.0,0.0,0.0,2,150.0,0,0.0
1050.0,-450.0,52.18984163095415,0.0,1.0,0.0,0.0,2,150.0,0,0.0
600.0,450.0,52.58205050662944,0.0,1.0,0.0,0.0,2,150.0,0,0.0
600.0,-900.0,52.89699434636104,0.0,0.9999999999999998,0.0,2.220446049250313e-16,1,300.0,1,0.0
600.0,900.0,54.18741579738546,0.0,1.0,0.0,0.0,1,300.0,1,0.0
750.0,-1050.0,55.03982914746315,0.0,0.9813220731324337,0.018677926867566086,2.220446049250313e-16,2,150.0,0,0.0021559750774385877
1050.0,300.0,56.04775028827349,0.0,0.9999999999999998,0.0,2.220446049250313e-16,2,150.0,0,0.0
1200.0,600.0,58.84473347861315,0.0,0.9816815203683125,0.018318479631687437,1.1102230246251565e-16,0,600,0,0.0025154223133172504
600.0,300.0,59.2323625972447,0.0,1.0,0.0,0.0,1,300.0,2,0.0
1050.0,-300.0,59.84426405768676,0.0,1.0,0.0,0.0,2,150.0,0,0.0
600.0,-1050.0,59.84853601428903,0.0,0.995726092792891,0.004273907207109176,2.220446049250313e-16,2,150.0,0,0.0009364413235107838
600.0,-300.0,60.194265010106406,0.0,1.0000000000000002,0.0,2.220446049250313e-16,1,300.0,1,0.0
1200.0,-600.0,60.744123281164775,0.0,0.9824099536369973,0.017590046363002758,0.0,0,600,1,0.0009778724692680596
1050.0,-900.0,60.79450615868086,0.0,0.9561047889348229,0.043895211065177145,0.0,2,150.0,0,-0.0022274119248621993
1200.0,450.0,61.168563506577875,0.0,0.9946091226702305,0.005390877329769533,0.0,2,150.0,0,0.00010848637367977254
1050.0,900.0,61.782899463301106,0.0,0.9524806097376031,0.04751939026239675,2.220446049250313e-16,2,150.0,2,-0.00023711807950610453
900.0,150.0,64.34382723389264,0.0,1.0,0.0,0.0,2,150.0,1,0.0
1200.0,-450.0,64.62421463190627,0.0,0.9947603408479835,0.0052396591520165155,0.0,2,150.0,1,0.00025970455143276006
1200.0,750.0,66.21202480217363,0.0,0.9504633272991749,0.04953667270082502,0.0,2,150.0,0,0.0020226203792094166
1200.0,-750.0,66.62365543061375,0.0,0.9531631097041702,0.04683689029582988,0.0,2,150.0,0,0.00047748319063012357
