seed,source_count,probes_virtual_time_s,probes_movement_m,probes_real_time_s,probes_audit_time_s,probes_failed_clears,probes_long_moves_over_1km,probes_fallback_s,probes_complete,frozen_advantage_virtual_time_s,frozen_advantage_movement_m,frozen_advantage_real_time_s,frozen_advantage_audit_time_s,frozen_advantage_failed_clears,frozen_advantage_long_moves_over_1km,frozen_advantage_fallback_s,frozen_advantage_complete,frozen_advantage_saved_s,frozen_advantage_overrides,finetuned_advantage_virtual_time_s,finetuned_advantage_movement_m,finetuned_advantage_real_time_s,finetuned_advantage_audit_time_s,finetuned_advantage_failed_clears,finetuned_advantage_long_moves_over_1km,finetuned_advantage_fallback_s,finetuned_advantage_complete,finetuned_advantage_saved_s,finetuned_advantage_overrides
280020010,10,5619.34798,19101.73986429803,67.46415678199992,4.928560524000204,1,0,0.0,True,5633.000687,19100.003406353517,80.84311154399984,0.7542529419988568,1,0,0.0,True,-13.652707000000191,3,5364.325286,18546.626390308204,104.30917569799931,0.4023118320001231,1,0,0.0,True,255.02269399999932,3
280020011,13,5389.995588,20199.977920713685,81.07835907900153,0.6694425579989911,2,0,0.0,True,5401.214258,20111.07128392467,114.26592741100103,0.4921312629994645,2,0,0.0,True,-11.218670000000202,4,5397.449318,20092.246576849113,128.80312922699886,0.2862692269991385,2,0,0.0,True,-7.453730000000178,3
280020012,10,5508.527675,19187.638360435063,54.82873254500009,0.48256218999813427,0,0,0.0,True,5456.762754,19163.813744646483,79.9763197659995,0.5644245679977757,0,0,0.0,True,51.76492099999996,5,5532.837502,19429.187486912564,100.98368722400119,1.7301945079998404,0,0,0.0,True,-24.30982700000004,5
280020013,14,5724.528363,21702.64179785725,68.86497351800062,3.869292252999003,2,0,0.0,True,5668.047897,21635.239466457213,155.44534633400326,0.6742008569999598,2,1,0.0,True,56.48046599999998,5,5727.785036,21308.925149150462,115.88061097500395,2.159735738998279,1,0,0.0,True,-3.2566729999998643,7
280020014,10,6006.984177,21774.920866119588,54.80139444499946,0.4884493119971012,4,0,0.0,True,5929.266501,21446.332477790056,66.96405658000003,0.37855421700078296,2,1,0.0,True,77.71767600000021,5,6174.294361,22361.471775312566,77.7004903599991,0.49363713600178016,4,1,0.0,True,-167.31018399999994,8
280020015,11,5454.077428,19365.387127415102,102.01054872400346,0.9940739719968406,2,0,0.0,True,5441.323431,19311.6171397087,130.19177849600237,0.31495297200308414,1,0,0.0,True,12.7539969999998,4,5447.432789,19307.1639334648,118.6534575049991,0.39476131399715086,1,0,0.0,True,6.644638999999188,5
280020016,10,5654.096959,19340.484768333237,66.0255595650051,2.066707719997794,1,0,0.0,True,5997.828675,21169.14335734526,48.45301133900284,0.3155275370008894,1,1,0.0,True,-343.7317159999993,3,5997.828675,21169.14335734526,47.62400919099673,0.25032513499900233,1,1,0.0,True,-343.7317159999993,3
280020017,14,5778.412745,21432.063713129115,40.18543446499825,0.4007414469961077,3,0,0.0,True,5922.864039,22099.320176441262,73.73580795499947,0.3607609980026609,2,1,0.0,True,-144.45129400000042,12,5957.989071,22244.945338159374,110.75481387600303,0.4395304110003053,4,1,0.0,True,-179.57632600000034,9
280020018,16,4896.120388,18960.601926900767,73.89596724699732,0.7192891929953475,0,1,0.0,True,5322.110809,20930.554009131505,70.7642804520001,0.369001910003135,1,1,0.0,True,-425.9904209999995,3,4429.861867,17114.30932689915,110.35518636300185,0.3109894640001585,0,0,0.0,True,466.25852100000066,9
280020019,11,5873.217764,20381.088807942902,32.206901416997425,0.6479206369986059,0,1,0.0,True,6332.362248,22426.811231850526,50.06903192499885,0.7818988459985121,0,1,0.0,True,-459.1444840000004,6,6423.17823,22965.891122782577,51.12242914400122,0.5099964589971933,1,2,0.0,True,-549.9604660000005,6
