method,case,family,sources,cleared,virtual_time_s,s_per_source,movement_m,measurements,failed_clears,stops,outer_sector_transitions,runtime_s,shared_stops,recovery_actions,max_wait_seen,cover_searches,failure
b4,n12_two_clusters_1,two_clusters,12,12,2295.387393472327,191.28228278936058,7461.936967361635,124,0,19,3,0.9195294999954058,0,0,0,0,
b4,n12_coverage_seams_0,coverage_seams,12,12,3197.317617148875,266.44313476240626,11571.588085744379,135,7,35,6,1.3983383999875514,0,0,0,0,
b4,n13_uniform_disk_3,uniform_disk,13,13,3197.1429133118513,245.93407025475778,12040.714566559254,121,0,23,4,0.9211982999986503,0,0,0,0,
b4,n13_two_clusters_2,two_clusters,13,13,2293.7086256169864,176.4391250474605,7568.543128084933,119,1,22,5,0.9986547999869799,0,0,0,0,
b4,n13_coverage_seams_1,coverage_seams,13,13,3375.6320553139203,259.66400425491696,12438.1602765696,133,13,44,7,1.437894500006223,0,0,0,0,
b4,n14_outer_ring_0,outer_ring,14,14,3862.8471991904353,275.91765708503107,14809.235995952175,139,1,32,6,0.391551900000195,0,0,0,0,
b4,n14_two_clusters_3,two_clusters,14,14,2418.9704432887193,172.78360309205138,8099.8522164435935,122,0,22,4,1.0146056000085082,0,0,0,0,
b4,n14_coverage_seams_2,coverage_seams,14,14,3374.9674458058075,241.0691032718434,12334.837229029039,137,9,40,7,1.8768393999926047,0,0,0,0,
b4,n15_outer_ring_1,outer_ring,15,15,3519.325825600591,234.62172170670607,13281.629128002955,130,5,35,7,0.8725054000096861,0,0,0,0,
b4,n15_narrow_sector_0,narrow_sector,15,15,2520.8237280647695,168.05491520431798,9359.118640323844,96,0,23,1,0.6672572000097716,0,0,0,0,
b4,n15_coverage_seams_3,coverage_seams,15,15,3492.423767060958,232.82825113739722,13292.11883530479,123,12,47,6,1.4972421999991639,0,0,0,0,
b4,n16_outer_ring_2,outer_ring,16,16,3338.8104965038933,208.67565603149333,12599.052482519463,123,3,33,5,0.8038513000064995,0,0,0,0,
b4,n16_narrow_sector_1,narrow_sector,16,16,1168.7067418842855,73.04417136776785,3833.5337094214296,54,0,18,3,0.42650649999268353,0,0,0,0,
b5,n10_uniform_disk_0,uniform_disk,10,10,4407.26311190927,440.72631119092705,17626.31555954635,139,0,24,9,1.6513010000053328,2,0,17,0,
b5,n10_outer_ring_3,outer_ring,10,10,4584.130717070607,458.4130717070607,18105.653585353037,153,0,24,10,2.308005700004287,5,0,16,0,
b5,n10_narrow_sector_2,narrow_sector,10,10,2692.3899379115705,269.23899379115704,9701.949689557849,117,1,21,3,1.89697289999458,3,0,14,0,
b5,n11_uniform_disk_1,uniform_disk,11,11,3983.0579206251246,362.09617460228407,16020.289603125617,121,0,22,7,2.429857900002389,5,0,13,0,
b5,n11_two_clusters_0,two_clusters,11,11,3195.7962721000663,290.52693382727875,11883.98136050033,128,0,22,6,1.9818367999978364,4,0,14,0,
b5,n11_narrow_sector_3,narrow_sector,11,11,2618.7456827717033,238.06778934288212,9473.728413858518,112,0,21,2,3.5577645000012126,4,0,17,0,
b5,n12_uniform_disk_2,uniform_disk,12,12,4723.8350552464,393.65292127053334,19164.175276232,139,0,25,9,2.4460238000028767,3,0,18,0,
b5,n12_two_clusters_1,two_clusters,12,12,2920.6994953144945,243.3916246095412,10533.49747657247,126,0,21,3,2.4485731000022497,3,0,17,0,
b5,n12_coverage_seams_0,coverage_seams,12,12,4386.587649196327,365.5489707663606,17527.93824598164,137,0,24,7,3.5026531999901636,4,0,16,0,
b5,n13_uniform_disk_3,uniform_disk,13,13,4540.172155440755,349.2440119569811,18425.860777203776,132,0,27,8,2.815774300004705,5,0,18,0,
