x,y,J,ED,p_near,p_none,probability_sum
1140.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
1200.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
1260.0,-1260.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-1320.0,-1200.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-1260.0,-1200.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-1200.0,-1200.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-1140.0,-1200.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-1080.0,-1200.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-1020.0,-1200.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-960.0,-1200.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-900.0,-1200.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-840.0,-1200.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-780.0,-1200.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-720.0,-1200.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-660.0,-1200.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-600.0,-1200.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-540.0,-1200.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-480.0,-1200.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-420.0,-1200.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-360.0,-1200.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-300.0,-1200.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-240.0,-1200.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-180.0,-1200.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-120.0,-1200.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
-60.0,-1200.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
0.0,-1200.0,597.5925455417879,1195.0030586051948,0.0,1.0,1.0
60.0,-1200.0,594.8956366177375,1189.610088496404,0.0,0.9953125,1.0
120.0,-1200.0,592.1865058267181,1184.1926228768916,0.0,0.990625,1.0
180.0,-1200.0,588.5963422496627,1177.0133805755672,0.0,0.984375,1.0
240.0,-1200.0,584.0978986491696,1168.0178584976402,0.0,0.9765625,1.0
300.0,-1200.0,578.7058627475694,1157.2354210542235,0.0,0.9671875000000001,1.0000000000000002
360.0,-1200.0,572.4167523583428,1144.659107683253,0.0,0.95625,1.0
420.0,-1200.0,566.1253471212391,1132.078203797682,0.0,0.9453125000000001,1.0000000000000002
480.0,-1200.0,559.3858172286991,1118.6011881812865,0.0,0.93359375,1.0
540.0,-1200.0,552.1987461274318,1104.229225102589,0.0,0.92109375,1.0000000000000002
600.0,-1200.0,545.473264437227,1090.7802983433696,0.0,0.909375,1.0000000000000002
660.0,-1200.0,537.399066138826,1074.6343486256771,0.0,0.8953125,1.0
