method,case,family,sources,cleared,virtual_time_s,s_per_source,movement_m,measurements,failed_clears,stops,outer_sector_transitions,runtime_s,shared_stops,recovery_actions,max_wait_seen,cover_searches,failure
q2,n14_narrow_sector_1,narrow_sector,14,14,2349.7653874066323,167.84038481475946,8343.82693703316,102,0,21,3,0.3726239999959944,0,0,0,0,
q2,n14_coverage_seams_2,coverage_seams,14,14,3561.3281303875233,254.38058074196596,13241.64065193762,137,11,45,9,1.1046021000074688,0,0,0,0,
q2,n15_uniform_disk_3,uniform_disk,15,15,3375.8168311189893,225.0544554079326,12999.084155594945,116,4,33,6,1.0713699000043562,0,0,0,0,
q2,n15_outer_ring_0,outer_ring,15,15,3592.92001867478,239.52800124498532,13719.6000933739,130,0,27,4,0.2897224000043934,0,0,0,0,
q2,n15_two_clusters_1,two_clusters,15,15,2315.1261810933156,154.34174540622104,7840.630905466581,112,1,24,3,0.6224110000039218,0,0,0,0,
q2,n15_narrow_sector_2,narrow_sector,15,15,2635.73852560027,175.71590170668466,8658.692628001349,138,1,25,3,0.442526300001191,0,0,0,0,
q2,n15_coverage_seams_3,coverage_seams,15,15,3610.5435263055497,240.70290175370332,13402.717631527754,138,14,50,7,1.383212899992941,0,0,0,0,
q2,n16_uniform_disk_0,uniform_disk,16,16,3188.661939375906,199.29137121099413,12068.309696879527,116,1,31,7,0.9709589999984019,0,0,0,0,
q2,n16_outer_ring_1,outer_ring,16,16,2961.115776775918,185.0697360484949,10540.578883879585,127,7,36,5,1.071825799997896,0,0,0,0,
q2,n16_two_clusters_2,two_clusters,16,16,1712.868978952651,107.0543111845407,6109.344894763253,69,2,22,5,0.6123480999958701,0,0,0,0,
q2,n16_narrow_sector_3,narrow_sector,16,16,1356.7628502014472,84.79767813759045,3858.8142510072375,85,0,18,0,0.3846130999882007,0,0,0,0,
q2,n16_coverage_seams_0,coverage_seams,16,16,3527.5925869808775,220.47453668630484,13457.96293490439,121,16,54,8,2.030109300001641,0,0,0,0,
b4,n10_uniform_disk_2,uniform_disk,10,10,2885.456277698907,288.5456277698907,10117.281388494532,135,2,22,4,1.5623134000052232,0,0,0,0,
b4,n10_outer_ring_3,outer_ring,10,10,3265.3020592346993,326.5302059234699,12066.510296173494,134,1,25,6,0.8179623000032734,0,0,0,0,
b4,n10_two_clusters_0,two_clusters,10,10,2409.175820134453,240.91758201344527,8020.879100672266,126,0,17,3,0.4527747999964049,0,0,0,0,
b4,n10_narrow_sector_1,narrow_sector,10,10,2511.8079811289263,251.18079811289263,8534.039905644633,126,0,18,1,0.8586641000001691,0,0,0,0,
b4,n10_coverage_seams_2,coverage_seams,10,10,3145.45537728238,314.545537728238,11162.276886411904,142,6,29,8,1.7607667000120273,0,0,0,0,
b4,n11_uniform_disk_3,uniform_disk,11,11,2699.4747307046464,245.4067937004224,9367.373653523233,128,2,22,4,1.0653471999976318,0,0,0,0,
b4,n11_outer_ring_0,outer_ring,11,11,3792.084174635148,344.7349249668316,14450.420873175735,141,2,28,5,0.4380371000006562,0,0,0,0,
b4,n11_two_clusters_1,two_clusters,11,11,2301.5842187175467,209.23492897432243,7552.9210935877345,122,2,21,3,0.9743331999925431,0,0,0,0,
