x,y,area_m2,posterior_mass,R_conditional_min_m,R_conditional_max_m
256.5943720014108,-5.309540479764625,9.587265792501091,0.00034693699510429915,1000,1500
256.6053449635164,-4.749726208887625,9.587265792505013,0.00034693699510444107,1000,1500
256.6150965751989,-4.189889330998507,9.587265792505004,0.00034693699510444074,1000,1500
256.62362679004394,-3.63003251072246,9.587265792501087,0.00034693699510429904,1000,1500
256.6309355674508,-3.07015841277924,9.587265792505008,0.0003469369951044409,1000,1500
256.6370228726324,-2.5102697019708615,9.587265792505004,0.00034693699510444074,1000,1500
256.64188867661517,-1.9503690431692216,9.587265792501103,0.0003469369951042996,1000,1500
256.6455329562396,-1.3904591013027314,9.587265792505011,0.000346936995104441,1000,1500
256.6479556941603,-0.8305425413441279,9.587265792501107,0.00034693699510429974,1000,1500
256.64915687884593,-0.27062202829761633,9.587265792505011,0.000346936995104441,1000,1500
273.09570903769236,-9.229682582733709,9.587265792504999,0.0003469369951044406,1000,1500
273.11519514611325,-8.633858678388847,9.58726579250112,0.0003469369951043002,1000,1500
273.1333813230803,-8.037993679939134,9.587265792505033,0.0003469369951044418,1000,1500
273.15026748203366,-7.442090423490615,9.58726579250114,0.00034693699510430094,1000,1500
273.16585354260116,-6.846151745331412,9.58726579250501,0.00034693699510444096,1000,1500
273.18013943059873,-6.250180481918138,9.587265792505008,0.0003469369951044409,1000,1500
273.1931250780307,-5.654179469862857,9.587265792501126,0.00034693699510430045,1000,1500
273.20481042308984,-5.05815154591885,9.587265792505047,0.0003469369951044423,1000,1500
273.2151954101581,-4.462099546967512,9.587265792505033,0.0003469369951044418,1000,1500
273.2242799898067,-3.866026310005179,9.58726579250113,0.00034693699510430056,1000,1500
273.2320641187962,-3.269934672128897,9.58726579250504,0.00034693699510444204,1000,1500
273.23854776007687,-2.6738274705233156,9.587265792505038,0.000346936995104442,1000,1500
273.24373088278895,-2.0777075424475155,9.587265792501116,0.00034693699510430007,1000,1500
273.24761346226256,-1.4815777252207774,9.587265792505008,0.0003469369951044409,1000,1500
273.2501954800181,-0.885440856209595,9.587265792501118,0.0003469369951043001,1000,1500
273.25147692376595,-0.28929977281399927,9.587265792505026,0.00034693699510444156,1000,1500
288.73340761536394,-9.759160141286493,9.587265792505015,0.0003469369951044411,1000,1500
288.75401164875836,-9.12921883799058,9.587265792501087,0.00034693699510429904,1000,1500
288.77324131547937,-8.499234082851157,9.587265792504992,0.0003469369951044403,1000,1500
288.79109652400075,-7.869208874372216,9.587265792501078,0.0003469369951042987,1000,1500
288.80757718933785,-7.239146211250263,9.587265792504995,0.0003469369951044404,1000,1500
288.8226832330487,-6.6090490923599745,9.587265792505008,0.0003469369951044409,1000,1500
288.8364145832338,-5.97892051674039,9.58726579250109,0.0003469369951042991,1000,1500
288.8487711745368,-5.348763483579884,9.58726579250498,0.0003469369951044399,1000,1500
288.8597529481448,-4.7185809922022965,9.587265792504995,0.0003469369951044404,1000,1500
288.8693598517883,-4.088376042053017,9.58726579250109,0.0003469369951042991,1000,1500
288.87759183974197,-3.4581516326839328,9.587265792504983,0.00034693699510444,1000,1500
288.88444887282446,-2.8279107637395713,9.58726579250499,0.00034693699510444026,1000,1500
288.8899309183987,-2.197656434943176,9.587265792501087,0.00034693699510429904,1000,1500
288.894037950372,-1.5673916460816604,9.587265792505008,0.0003469369951044409,1000,1500
288.8967699491965,-0.9371193969918761,9.587265792501087,0.00034693699510429904,1000,1500
288.89812690186886,-0.30684268754615496,9.587265792504983,0.00034693699510444,1000,1500
303.5644848970887,-10.261281023828325,9.587265792505008,0.0003469369951044409,1000,1500
303.5861490921109,-9.598982159968278,9.58726579250111,0.00034693699510429985,1000,1500
303.6063683247465,-8.936637608357941,9.587265792505036,0.00034693699510444194,1000,1500
303.6251424987592,-8.27425052152245,9.587265792501139,0.0003469369951043009,1000,1500
303.6424715247906,-7.61182405218938,9.587265792505026,0.00034693699510444156,1000,1500
303.65835532036067,-6.949361353273632,9.587265792505018,0.0003469369951044413,1000,1500
303.67279380986804,-6.286865577862944,9.587265792501118,0.0003469369951043001,1000,1500
303.6857869245908,-5.624339879202073,9.587265792505018,0.0003469369951044413,1000,1500
303.6973346026863,-4.96178741067822,9.587265792505036,0.00034693699510444194,1000,1500
303.7074367891916,-4.299211325806393,9.587265792501105,0.0003469369951042997,1000,1500
303.7160934360239,-3.6366147782135965,9.587265792505011,0.000346936995104441,1000,1500
303.7233045019808,-2.974000921624244,9.58726579250504,0.00034693699510444204,1000,1500
303.7290699527399,-2.311372909845532,9.587265792501135,0.00034693699510430077,1000,1500
303.73338976085995,-1.6487338967516152,9.587265792505018,0.0003469369951044413,1000,1500
303.73626390578,-0.986087036269168,9.58726579250111,0.00034693699510429985,1000,1500
303.7376923738203,-0.3234354823621907,9.587265792505018,0.0003469369951044413,1000,1500
317.7024601193253,-10.739900993803932,9.587265792505018,0.0003469369951044413,1000,1500
317.72513485443824,-10.046756738232041,9.587265792501128,0.0003469369951043005,1000,1500
317.7462973306076,-9.353564663661693,9.587265792505038,0.000346936995104442,1000,1500
317.7659474471074,-8.660328069441297,9.587265792501121,0.00034693699510430023,1000,1500
317.78408511041016,-7.967050255131134,9.58726579250503,0.0003469369951044417,1000,1500
317.8007102341869,-7.273734520487561,9.587265792505026,0.00034693699510444156,1000,1500
317.8158227393081,-6.580384165447834,9.587265792501121,0.00034693699510430023,1000,1500
317.8294225538434,-5.88700249011356,9.587265792505038,0.000346936995104442,1000,1500
317.8415096130627,-5.193592794735437,9.58726579250502,0.00034693699510444134,1000,1500
317.8520838594358,-4.500158379697941,9.58726579250112,0.0003469369951043002,1000,1500
317.86114524263303,-3.806702545502776,9.587265792505038,0.000346936995104442,1000,1500
317.86869371952537,-3.1132285927536065,9.587265792505018,0.0003469369951044413,1000,1500
317.8747292541849,-2.4197398221407536,9.5872657925011,0.00034693699510429947,1000,1500
317.87925181788444,-1.7262395344246322,9.587265792505029,0.00034693699510444166,1000,1500
317.88226138909823,-1.0327310304206363,9.587265792501137,0.0003469369951043008,1000,1500
